date,symbol,usable_ohlcv,broad_gate,smh_ma50,above_ma20,above_ma50,breakout_prior_high20,rs20_at_least_3pct,volume_ratio_at_least_1_2,extension_0_to_12pct,event_cooldown_clear,atr_at_most_4pct,close_location_at_least_50pct,final_rsr1,extension,atr_pct,close_location,rs20,volume_ratio
2026-08-18,AXTI,True,True,False,True,True,False,True,True,False,True,False,False,False,0.24915579722532066,0.15351371916581505,0.1338850999324464,0.48105642535261506,1.2904123156318308
2026-08-18,CRDO,True,True,False,True,True,False,True,True,True,True,False,False,False,0.0612344452178204,0.09623008327866117,0.20354599228996395,0.12321809898940295,1.5383698370075432
2026-08-18,SMCI,True,True,False,True,True,False,True,False,False,True,False,True,False,0.17186398732603014,0.06749532311004562,0.6134017881897675,0.49155888113256707,0.8227815915802493
2026-08-18,ORCL,True,True,False,True,False,False,True,False,True,True,False,False,False,0.040606871192817584,0.050798883203080306,0.12054463516801418,0.14838821672590297,0.610545224730966
2026-08-18,META,True,True,False,False,False,False,False,True,False,True,False,False,False,-0.07194965219323268,0.04222622591587179,0.026358866736621196,-0.1310427441174229,1.6799272597182089
2026-08-18,TER,True,True,False,True,True,False,True,False,True,True,False,False,False,0.07121804173027102,0.07327837531747244,0.3717007218180888,0.10537376508667462,1.196197841506154
2026-08-18,ASML,True,True,False,True,True,False,False,False,True,True,True,True,False,0.04154600588709956,0.038390814151964506,0.6101538503542517,0.026610396319921126,0.9580788909060901
2026-08-18,AMAT,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.015178290820298757,0.06331955683247413,0.8691099894706372,-0.06445567927368323,1.0938475441808655
2026-08-18,KLAC,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.01243748656131094,0.055097233805489844,0.3888879031797021,-0.07914877858064984,1.1593413090531446
2026-08-18,LRCX,True,True,False,True,False,False,True,False,True,True,False,True,False,0.0628585121089853,0.06683468191843545,0.901372767126873,0.04288519845573435,0.956515547827651
2026-08-18,TSLA,True,True,False,True,False,False,False,False,True,True,True,True,False,0.03485774319600776,0.03222312644102052,0.6110518344592294,-0.08649668613342465,0.7098351515022429
2026-08-18,QCOM,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.01190779072149617,0.04141064347773833,0.6811034383325875,-0.05221461974784025,0.9608357131077104
