variant,missing_mode,period,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,daily_es_5,annual_turnover,average_exposure
rv40_mapped_25pct,minus_100pct,final_2020_2025,0.0013348431331072774,0.00022308802678505657,0.04936673215999633,0.02922913558724159,0.04382588799881228,-0.12762018872404868,0.0017480621915348883,0.4166666666666667,-0.008026070665222576,11.989648307896484,0.17999336429993365
rv40,minus_100pct,full_2006_2025,-0.3991360180877458,-0.02519708740286919,0.17149875390031635,-0.06263972831298405,-0.0921886915980885,-0.6342665984905929,-0.039726335050328056,0.37916666666666665,-0.028504220326478227,42.67467196819086,0.6769383697813122
rv40_mapped_25pct,minus_100pct,full_2006_2025,-0.06944433589205057,-0.003599330385399724,0.04287468847507909,-0.06263972831298405,-0.0921886915980885,-0.1863400354353102,-0.019315926268830552,0.4,-0.007126055081619557,10.668667992047714,0.16923459244532804
rv_percentile_60,zero_return,development_2006_2014,0.14151937513989732,0.014835127687905514,0.12866937039109405,0.1789778293618409,0.2650247404595575,-0.35720241557148114,0.04153143159508338,0.42592592592592593,-0.021417091610074043,38.977483443708614,0.5898454746136865
rv_percentile_60_mapped_25pct,zero_return,development_2006_2014,0.048219257061011156,0.005253211460949148,0.03216734259777351,0.1789778293618409,0.2650247404595575,-0.10165154284902345,0.051678620055491016,0.42592592592592593,-0.005354272902518511,9.744370860927154,0.14746136865342163
rv_percentile_60,zero_return,validation_2015_2019,-0.15556085036364675,-0.033303105893502716,0.12903585069349965,-0.19770128294305073,-0.29056649659566264,-0.32482438047033435,-0.10252649707291363,0.45,-0.021044144429210418,45.35198728139905,0.7782193958664547
rv_percentile_60_mapped_25pct,zero_return,validation_2015_2019,-0.033851696102218165,-0.006874796346664991,0.032258962673374914,-0.19770128294305073,-0.29056649659566264,-0.09092734085341558,-0.07560758163760539,0.45,-0.0052610361073026045,11.337996820349762,0.19455484896661368
rv_percentile_60,zero_return,final_2020_2025,0.19334100241179542,0.0299983825391108,0.16775849790076414,0.2603611982140508,0.39415165797208035,-0.27638189394598656,0.1085396084049319,0.4166666666666667,-0.027017121924865453,47.42349037823491,0.7199734571997346
rv_percentile_60_mapped_25pct,zero_return,final_2020_2025,0.06187415358495407,0.010089661635476643,0.041939624475191034,0.2603611982140508,0.39415165797208035,-0.07586058468813595,0.13300268745561877,0.4166666666666667,-0.006754280481216363,11.855872594558727,0.17999336429993365
rv_percentile_60,zero_return,full_2006_2025,0.15031348208044992,0.007040312135560223,0.14161093407786698,0.12058180156673512,0.17950848656226845,-0.3914486577808052,0.017985275963067683,0.42916666666666664,-0.023230431976693035,43.10218687872764,0.6759443339960238
rv_percentile_60_mapped_25pct,zero_return,full_2006_2025,0.07539739417496039,0.003648377973276329,0.035402733519466746,0.12058180156673512,0.17950848656226845,-0.10690331016011534,0.034127829791350144,0.42916666666666664,-0.005807607994173259,10.77554671968191,0.16898608349900596
rv_percentile_60,minus_100pct,development_2006_2014,0.14151937513989732,0.014835127687905514,0.12866937039109405,0.1789778293618409,0.2650247404595575,-0.35720241557148114,0.04153143159508338,0.42592592592592593,-0.021417091610074043,38.977483443708614,0.5898454746136865
rv_percentile_60_mapped_25pct,minus_100pct,development_2006_2014,0.048219257061011156,0.005253211460949148,0.03216734259777351,0.1789778293618409,0.2650247404595575,-0.10165154284902345,0.051678620055491016,0.42592592592592593,-0.005354272902518511,9.744370860927154,0.14746136865342163
rv_percentile_60,minus_100pct,validation_2015_2019,-0.15556085036364675,-0.033303105893502716,0.12903585069349965,-0.19770128294305073,-0.29056649659566264,-0.32482438047033435,-0.10252649707291363,0.45,-0.021044144429210418,45.35198728139905,0.7782193958664547
rv_percentile_60_mapped_25pct,minus_100pct,validation_2015_2019,-0.033851696102218165,-0.006874796346664991,0.032258962673374914,-0.19770128294305073,-0.29056649659566264,-0.09092734085341558,-0.07560758163760539,0.45,-0.0052610361073026045,11.337996820349762,0.19455484896661368
rv_percentile_60,minus_100pct,final_2020_2025,0.19334100241179542,0.0299983825391108,0.16775849790076414,0.2603611982140508,0.39415165797208035,-0.27638189394598656,0.1085396084049319,0.4166666666666667,-0.027017121924865453,47.42349037823491,0.7199734571997346
rv_percentile_60_mapped_25pct,minus_100pct,final_2020_2025,0.06187415358495407,0.010089661635476643,0.041939624475191034,0.2603611982140508,0.39415165797208035,-0.07586058468813595,0.13300268745561877,0.4166666666666667,-0.006754280481216363,11.855872594558727,0.17999336429993365
rv_percentile_60,minus_100pct,full_2006_2025,0.15031348208044992,0.007040312135560223,0.14161093407786698,0.12058180156673512,0.17950848656226845,-0.3914486577808052,0.017985275963067683,0.42916666666666664,-0.023230431976693035,43.10218687872764,0.6759443339960238
