initial_nav,slippage,period_name,symbol,signal_date,group,baseline_pnl,candidate_pnl,pnl_delta,partial_exit_status
6000.0,0.002,development_2024_2025,NOK,2024-10-18,common,-16.769022652785168,-16.769022652785168,0.0,
6000.0,0.002,development_2024_2025,NOK,2025-09-04,common,15.119508621215687,14.968008544921872,-0.15150007629381435,
6000.0,0.002,development_2024_2025,NOK,2025-10-10,common,160.1716715431212,121.74667154312124,-38.424999999999955,executed
6000.0,0.002,development_2024_2025,TER,2024-12-13,common,32.45492316485701,32.45492316485701,0.0,
6000.0,0.002,development_2024_2025,TSLA,2025-12-12,common,-12.211066101074323,-12.211066101074323,0.0,
6000.0,0.002,development_2024_2025,TTMI,2024-10-16,common,-26.81884004211429,-26.81884004211429,0.0,
6000.0,0.002,development_2024_2025,WDC,2025-02-18,candidate_only,0.0,-41.793214370402836,-41.793214370402836,
6000.0,0.002,development_2024_2025,WDC,2025-06-05,common,63.338874088065495,68.66901865894636,5.3301445708808615,executed
6000.0,0.002,development_2024_2025,WDC,2025-07-23,common,34.94413534964758,34.94413534964758,0.0,
6000.0,0.002,full,AVGO,2025-10-29,common,-33.50963791470832,-33.50963791470832,0.0,
6000.0,0.002,full,CEG,2025-07-30,common,-30.50877395488908,-30.50877395488908,0.0,
6000.0,0.002,full,COHR,2024-11-07,common,-37.65847991089356,-37.65847991089356,0.0,
6000.0,0.002,full,COHR,2025-08-07,common,-96.16265954589846,-96.16265954589846,0.0,
6000.0,0.002,full,GLW,2025-08-28,common,78.6687910576756,75.76560919652599,-2.903181861149619,executed
6000.0,0.002,full,INTC,2025-02-12,common,21.020705665795106,39.48205877514718,18.461353109352075,executed
6000.0,0.002,full,KLAC,2025-06-09,common,53.26407464171007,53.26407464171007,0.0,
6000.0,0.002,full,KLAC,2026-01-05,common,17.66565176921796,17.66565176921796,0.0,ineligible_min_notional
6000.0,0.002,full,LITE,2024-11-06,common,117.8625853881835,94.88663635253906,-22.975949035644447,executed
6000.0,0.002,full,LITE,2025-07-15,common,91.89589546203626,89.65838520812991,-2.2375102539063505,executed
6000.0,0.002,full,META,2025-01-24,common,64.99261058983438,64.99261058983438,0.0,ineligible_whole_shares
6000.0,0.002,full,META,2026-07-09,common,-56.46755371093752,-56.46755371093752,0.0,
6000.0,0.002,full,MRVL,2024-11-06,common,95.51702594530059,104.21288549110545,8.695859545804865,executed
6000.0,0.002,full,MU,2025-06-03,common,71.67913066892822,67.30636013780128,-4.372770531126946,executed
6000.0,0.002,full,MU,2025-09-05,common,189.0063487401644,189.0063487401644,0.0,ineligible_min_notional
6000.0,0.002,full,NOK,2024-10-18,common,-16.769022652785168,-16.769022652785168,0.0,
6000.0,0.002,full,NOK,2025-09-04,common,15.119508621215687,14.968008544921872,-0.15150007629381435,
6000.0,0.002,full,NOK,2025-10-10,common,160.1716715431212,121.74667154312124,-38.424999999999955,executed
6000.0,0.002,full,TER,2024-12-13,common,32.45492316485701,32.45492316485701,0.0,
6000.0,0.002,full,TER,2026-01-05,common,85.52367097665149,102.46341198552688,16.939741008875387,executed
6000.0,0.002,full,TSLA,2025-12-12,common,-12.211066101074323,-12.211066101074323,0.0,
6000.0,0.002,full,TTMI,2024-10-16,common,-26.81884004211429,-26.81884004211429,0.0,
6000.0,0.002,full,WDC,2025-02-18,candidate_only,0.0,-41.793214370402836,-41.793214370402836,
6000.0,0.002,full,WDC,2025-06-05,common,63.338874088065495,68.66901865894636,5.3301445708808615,executed
6000.0,0.002,full,WDC,2025-07-23,common,34.94413534964758,34.94413534964758,0.0,
6000.0,0.002,heldout_2026,KLAC,2026-01-05,common,17.66565176921796,17.66565176921796,0.0,ineligible_min_notional
6000.0,0.002,heldout_2026,META,2026-07-09,common,-56.46755371093752,-56.46755371093752,0.0,
6000.0,0.002,heldout_2026,TER,2026-01-05,common,85.52367097665149,102.46341198552688,16.939741008875387,executed
