date,symbol,weight
2007-05-30,SVU,0.2
2007-05-30,TSN,0.2
2007-05-31,CVS,0.2
2007-05-31,ESRX,0.2
2007-05-31,LBTYA,0.2
2007-05-31,SVU,0.2
2007-05-31,TSN,0.2
2007-06-01,CVS,0.2
2007-06-01,ESRX,0.2
2007-06-01,LBTYA,0.2
2007-06-01,SVU,0.2
2007-06-01,TSN,0.2
2007-06-04,ESRX,0.2
2007-06-04,KR,0.2
2007-06-04,LBTYA,0.2
2007-06-04,SVU,0.2
2007-06-04,TSN,0.2
2007-06-05,ESRX,0.2
2007-06-05,KR,0.2
2007-06-05,LBTYA,0.2
2007-06-05,SVU,0.2
2007-06-05,TSN,0.2
2007-06-06,ESRX,0.2
2007-06-06,KR,0.2
2007-06-06,LBTYA,0.2
2007-06-06,SVU,0.2
2007-06-06,TSN,0.2
2007-06-07,ESRX,0.2
2007-06-07,KR,0.2
2007-06-07,LBTYA,0.2
2007-06-07,SVU,0.2
2007-06-07,TSN,0.2
2007-06-08,ESRX,0.2
2007-06-08,KR,0.2
2007-06-08,LBTYA,0.2
2007-06-08,SVU,0.2
2007-06-08,TSN,0.2
2007-06-11,AET,0.2
2007-06-11,CAT,0.2
2007-06-11,RVTY,0.2
2007-06-11,VZ,0.2
2007-06-11,WAT,0.2
2007-06-12,AET,0.2
2007-06-12,CAT,0.2
2007-06-12,RVTY,0.2
2007-06-12,VZ,0.2
2007-06-12,WAT,0.2
2007-06-13,AET,0.2
2007-06-13,CAT,0.2
2007-06-13,RVTY,0.2
2007-06-13,VZ,0.2
2007-06-13,WAT,0.2
2007-06-14,AET,0.2
2007-06-14,CAT,0.2
2007-06-14,RVTY,0.2
2007-06-14,VZ,0.2
2007-06-14,WAT,0.2
2007-06-15,AET,0.2
2007-06-15,CAT,0.2
2007-06-15,RVTY,0.2
2007-06-15,VZ,0.2
2007-06-15,WAT,0.2
2007-06-18,CAT,0.2
2007-06-18,ESRX,0.2
2007-06-18,HON,0.2
2007-06-18,ITT,0.2
2007-06-18,WHR,0.2
2007-06-19,CAT,0.2
2007-06-19,ESRX,0.2
2007-06-19,HON,0.2
2007-06-19,ITT,0.2
2007-06-19,WHR,0.2
2007-06-20,CAT,0.2
2007-06-20,ESRX,0.2
2007-06-20,HON,0.2
2007-06-20,ITT,0.2
2007-06-20,WHR,0.2
2007-06-21,CAT,0.2
2007-06-21,ESRX,0.2
2007-06-21,HON,0.2
2007-06-21,ITT,0.2
2007-06-21,WHR,0.2
2007-06-22,CAT,0.2
2007-06-22,ESRX,0.2
2007-06-22,HON,0.2
2007-06-22,ITT,0.2
2007-06-22,WHR,0.2
2007-06-25,CAT,0.2
2007-06-25,ETN,0.2
2007-06-25,GWW,0.2
2007-06-25,ITT,0.2
2007-06-25,TEVA,0.2
2007-06-26,CAT,0.2
2007-06-26,ETN,0.2
2007-06-26,GWW,0.2
2007-06-26,ITT,0.2
2007-06-26,TEVA,0.2
2007-06-27,CAT,0.2
2007-06-27,ETN,0.2
2007-06-27,GWW,0.2
2007-06-27,ITT,0.2
2007-06-27,TEVA,0.2
2007-06-28,CAT,0.2
2007-06-28,ETN,0.2
2007-06-28,GWW,0.2
2007-06-28,ITT,0.2
2007-06-28,TEVA,0.2
2007-06-29,CAT,0.2
2007-06-29,ETN,0.2
2007-06-29,GWW,0.2
2007-06-29,ITT,0.2
2007-06-29,TEVA,0.2
2007-07-02,ETN,0.2
2007-07-02,FIS,0.2
2007-07-02,GWW,0.2
2007-07-02,TEVA,0.2
2007-07-02,VRSN,0.2
2007-07-03,ETN,0.2
2007-07-03,FIS,0.2
2007-07-03,GWW,0.2
2007-07-03,TEVA,0.2
2007-07-03,VRSN,0.2
2007-07-05,ETN,0.2
2007-07-05,FIS,0.2
2007-07-05,GWW,0.2
2007-07-05,TEVA,0.2
2007-07-05,VRSN,0.2
2007-07-06,ETN,0.2
2007-07-06,FIS,0.2
2007-07-06,GWW,0.2
2007-07-06,TEVA,0.2
2007-07-06,VRSN,0.2
2007-07-09,DE,0.2
2007-07-09,ESRX,0.2
2007-07-09,FIS,0.2
2007-07-09,GWW,0.2
2007-07-09,ISRG,0.2
2007-07-10,DE,0.2
2007-07-10,ESRX,0.2
2007-07-10,FIS,0.2
2007-07-10,GWW,0.2
2007-07-10,ISRG,0.2
2007-07-11,DE,0.2
2007-07-11,ESRX,0.2
2007-07-11,FIS,0.2
2007-07-11,GWW,0.2
2007-07-11,ISRG,0.2
2007-07-12,DE,0.2
2007-07-12,ESRX,0.2
2007-07-12,FIS,0.2
2007-07-12,GWW,0.2
2007-07-12,ISRG,0.2
2007-07-13,DE,0.2
2007-07-13,ESRX,0.2
2007-07-13,FIS,0.2
2007-07-13,GWW,0.2
2007-07-13,ISRG,0.2
2007-07-16,ESRX,0.2
2007-07-16,FLS,0.2
2007-07-16,GT,0.2
2007-07-16,ISRG,0.2
2007-07-16,VLO,0.2
2007-07-17,ESRX,0.2
2007-07-17,FLS,0.2
2007-07-17,GT,0.2
2007-07-17,ISRG,0.2
2007-07-17,VLO,0.2
2007-07-18,ESRX,0.2
2007-07-18,FLS,0.2
2007-07-18,GT,0.2
2007-07-18,ISRG,0.2
2007-07-18,VLO,0.2
2007-07-19,ESRX,0.2
2007-07-19,FLS,0.2
2007-07-19,GT,0.2
2007-07-19,ISRG,0.2
2007-07-19,VLO,0.2
2007-07-20,ESRX,0.2
2007-07-20,FLS,0.2
2007-07-20,GT,0.2
2007-07-20,ISRG,0.2
2007-07-20,VLO,0.2
2007-07-23,EXPE,0.2
2007-07-23,FLS,0.2
2007-07-23,HON,0.2
2007-07-23,LBTYA,0.2
2007-07-23,TSN,0.2
2007-07-24,EXPE,0.2
2007-07-24,FLS,0.2
2007-07-24,HON,0.2
2007-07-24,LBTYA,0.2
2007-07-24,TSN,0.2
2007-07-25,EXPE,0.2
2007-07-25,FLS,0.2
2007-07-25,HON,0.2
2007-07-25,LBTYA,0.2
2007-07-25,TSN,0.2
2007-07-26,EXPE,0.2
2007-07-26,FLS,0.2
2007-07-26,HON,0.2
2007-07-26,LBTYA,0.2
2007-07-26,TSN,0.2
2007-07-27,EXPE,0.2
2007-07-27,FLS,0.2
2007-07-27,HON,0.2
2007-07-27,LBTYA,0.2
2007-07-27,TSN,0.2
2007-07-30,MMM,1.0
2007-07-31,MMM,1.0
2007-08-01,MMM,1.0
2007-08-02,MMM,1.0
2007-08-03,MMM,1.0
2007-08-13,BIIB,0.2
2007-08-13,FLR,0.2
2007-08-13,KO,0.2
2007-08-13,LIN,0.2
2007-08-13,TEVA,0.2
2007-08-14,BIIB,0.2
2007-08-14,FLR,0.2
2007-08-14,KO,0.2
2007-08-14,LIN,0.2
2007-08-14,TEVA,0.2
2007-08-15,BIIB,0.2
2007-08-15,FLR,0.2
2007-08-15,KO,0.2
2007-08-15,LIN,0.2
2007-08-15,TEVA,0.2
2007-08-16,BIIB,0.2
2007-08-16,FLR,0.2
2007-08-16,KO,0.2
2007-08-16,LIN,0.2
2007-08-16,TEVA,0.2
2007-08-17,BIIB,0.2
2007-08-17,FLR,0.2
2007-08-17,KO,0.2
