date,regime,risk_multiplier,core_val,core_grow,satellite,cash
2011-12-30,elevated,0.75,IWD|VTV,ALGN|DPZ|FFIV|FICO|GNRC|GWW|LYB|PM|STX|URI,,0.36250000000000004
2012-01-31,normal,1.0,IWD|VTV,DG|FAST|GNRC|GRMN|HD|LOW|ORLY|REGN|ROST|URI,CNC|GNRC|MNST|STX|URI,0.0
2012-02-29,normal,1.0,IWD|VTV,ALNY|FAST|HD|PHM|REGN|STX|SWKS|TRGP|TXT|URI,ALNY|PHM|REGN|STX|URI,0.0
2012-03-30,normal,1.0,IWD|VTV,AAPL|EQIX|NXPI|PHM|PTC|REGN|STX|SWKS|TXT|URI,PHM|PTC|REGN|STX|URI,0.0
2012-04-30,normal,1.0,IWD|VTV,AAPL|BKNG|EQIX|HD|LOW|REGN|ROST|SHW|STX|TJX,ALGN|PHM|REGN|STX|URI,0.0
2012-05-31,normal,1.0,SCHD|VTV,EQIX|INCY|MNST|REGN|ROST|SBAC|SHW|T|TJX|TPL,DAL|INCY|LEN|REGN|VRTX,0.0
2012-06-29,normal,1.0,IWD|SCHD,EQIX|EW|EXPE|MNST|SBAC|SHW|SRE|T|VRTX|WST,DHI|EXPE|INCY|PHM|VRTX,0.0
2012-07-31,normal,1.0,SCHD|VTV,ALNY|CHD|CHTR|EXPE|KMB|MO|NEE|T|WEC|WMT,EXPE|STZ,0.0
2012-08-31,normal,1.0,IWD|SCHD,ALNY|CHTR|EW|EXR|MPC|PHM|SBAC|STZ|VLO|VRSN,ALNY|DHI|LEN|PHM|STZ,0.0
2012-09-28,normal,1.0,IWD|SCHD,ALNY|AMGN|NRG|PHM|REGN|RMD|SHW|T|TMUS|VLO,ALNY|EXPE|PHM|STZ|TMUS,0.0
2012-10-31,normal,1.0,IWD|VTV,AXON|BLDR|FSLR|GILD|INSM|PHM|STZ|SW|WMT|WY,,0.15000000000000002
2012-11-30,normal,1.0,IWD|VTV,AXON|GILD|GNRC|INSM|MCO|MPC|PHM|PKG|RCL|SBAC,AXON|GNRC|INSM|PHM|SW,0.0
2012-12-31,normal,1.0,IWD|VTV,APO|APTV|AXON|CPAY|DPZ|ETN|FSLR|GNRC|REGN|URI,AXON|FSLR|GNRC|PHM|URI,0.0
2013-01-31,normal,1.0,IWD|VTV,APO|APTV|BAC|CPAY|DAL|F|MPC|SW|TRMB|VLO,ALNY|BLDR|GNRC|SW|URI,0.0
2013-02-28,normal,1.0,IWD|VTV,ALNY|APO|BLK|DAL|MPC|MS|STT|SW|UHS|VLO,,0.15000000000000002
2013-03-28,normal,1.0,IWD|VTV,BBY|CAG|CPAY|CPB|DAL|HPQ|HRL|LUV|MPC|MU,,0.15000000000000002
2013-04-30,normal,1.0,SCHD|VTV,APO|BBY|BIIB|CPAY|CPB|HRL|KR|LUV|TPL|UAL,BBY|DECK|INSM|MU|STZ,0.0
2013-05-31,normal,1.0,IWD|VTV,BBY|BIIB|FSLR|INSM|MU|TPL|TSLA|UHS|VRTX|WDC,BBY|FSLR|HPQ|STZ|VRTX,0.0
2013-06-28,normal,1.0,SCHD|VTV,ALNY|BBY|BSX|CBOE|CME|EA|INSM|MU|TSLA|VRTX,BBY|EA|INSM|TSLA|VRTX,0.0
2013-07-31,normal,1.0,IWD|VTV,ALNY|CBOE|CSGP|EA|LMT|LYV|MU|NOC|TMUS|TSLA,ALNY|BBY|CIEN|EA|TSLA,0.0
2013-08-30,normal,1.0,IWD|VTV,ALNY|BBY|CI|CSGP|EPAM|FANG|LMT|META|NOC|TSLA,ALNY|BBY|INSM|META|TSLA,0.0
2013-09-30,normal,1.0,IWD|VTV,ALNY|AXON|CPAY|INCY|INSM|LMT|META|MGM|NOC|TSLA,ALNY|INCY|INSM|META|TSLA,0.0
2013-10-31,normal,1.0,IWD|SCHD,AXON|BBY|BKNG|BR|EPAM|INCY|META|MU|TYL|WST,AXON|DECK|DXCM|INCY|META,0.0
2013-11-29,normal,1.0,SCHD|VTV,AXON|BR|DAL|HII|IBKR|LUV|MCK|MU|TKO|WST,ALNY|AXON|DXCM|INCY|NFLX,0.0
2013-12-31,normal,1.0,IWD|VTV,BR|CAH|CTSH|HII|IBKR|LUV|MCK|NOC|TKO|VLO,ALGN|DECK|DXCM|FANG|INCY,0.0
2014-01-31,normal,1.0,IWD|VTV,ADSK|CAH|DXCM|HII|INCY|INSM|MU|TKO|VLO|WYNN,ALNY|DXCM|INCY|INSM|NFLX,0.0
2014-02-28,normal,1.0,IWD|VTV,HII|INCY|LUV|META|MGM|MU|TKO|TMO|TSLA|WYNN,ALNY|DXCM|INCY|INSM|META,0.0
2014-03-31,normal,1.0,IWD|VTV,DAL|HII|LUV|NXPI|STZ|SWKS|TKO|TPL|TSN|ZBRA,BLDR|FANG|FSLR|TKO,0.0
2014-04-30,normal,1.0,IWD|VTV,EXC|FANG|FSLR|MAR|NXPI|SWKS|TPL|TRGP|TSN|ZBRA,FANG|FSLR,0.0
2014-05-30,normal,1.0,IWD|VTV,ETR|EXC|LUV|LYB|MAR|NRG|ODFL|SWKS|TPL|TRGP,EA|FANG,0.0
2014-06-30,normal,1.0,IWD|VTV,COP|EA|ETR|FANG|MU|SWKS|TAP|TPL|TRGP|WMB,EA|EPAM|PANW|TSLA|VRTX,0.0
2014-07-31,normal,1.0,IWD|VTV,APA|CMG|DLR|INTC|LRCX|LYB|SWKS|TPL|VRTX|WMB,PANW,0.0
2014-08-29,normal,1.0,IWD|VTV,CHRW|COO|HCA|INTC|LUV|STLD|SWKS|TPL|UHS|WMB,PANW,0.0
2014-09-30,normal,1.0,SCHD|VTV,EW|GILD|HCA|INTC|LUV|MNST|MO|SWKS|TPL|ZTS,MNST|PANW|VRTX,0.0
