Date,PLD
2002-10-14,11.561546325683594
2002-10-15,11.671566009521484
2002-10-16,11.574749946594238
2002-10-17,11.83880615234375
2002-10-18,11.970837593078613
2002-10-21,11.94883918762207
2002-10-22,11.618756294250488
2002-10-23,11.618756294250488
2002-10-24,11.922430038452148
2002-10-25,11.922430038452148
2002-10-28,11.922430038452148
2002-10-29,11.812406539916992
2002-10-30,11.794797897338867
2002-10-31,11.794797897338867
2002-11-01,11.900418281555176
2002-11-04,12.151283264160156
2002-11-05,12.327323913574219
2002-11-06,12.102879524230957
2002-11-07,12.09406566619873
2002-11-08,11.882818222045898
2002-11-11,11.882818222045898
2002-11-12,11.77719783782959
2002-11-13,11.724381446838379
2002-11-14,11.882818222045898
2002-11-15,11.816802024841309
2002-11-18,11.794797897338867
2002-11-19,11.706780433654785
2002-11-20,11.697976112365723
2002-11-21,11.724381446838379
2002-11-22,11.724381446838379
2002-11-25,11.785992622375488
2002-11-26,12.023652076721191
2002-11-27,12.168892860412598
2002-11-29,12.168892860412598
2002-12-02,12.344934463500977
2002-12-03,12.283312797546387
2002-12-04,12.261313438415527
2002-12-05,12.32292652130127
2002-12-06,12.278915405273438
2002-12-09,12.476957321166992
2002-12-10,12.428549766540527
2002-12-11,12.450556755065918
2002-12-12,12.476957321166992
2002-12-13,12.32292652130127
2002-12-16,12.388938903808594
2002-12-17,12.292116165161133
2002-12-18,12.260848999023438
2002-12-19,12.095587730407715
2002-12-20,12.149188041687012
2002-12-23,12.14024829864502
2002-12-24,12.06878662109375
2002-12-26,12.059856414794922
2002-12-27,12.059856414794922
2002-12-30,12.131314277648926
2002-12-31,12.220653533935547
2003-01-02,12.122383117675781
2003-01-03,12.359119415283203
2003-01-06,12.49311351776123
2003-01-07,12.345717430114746
2003-01-08,12.287654876708984
2003-01-09,12.216181755065918
2003-01-10,12.135785102844238
2003-01-13,12.144719123840332
2003-01-14,12.108983039855957
2003-01-15,11.925859451293945
2003-01-16,11.657856941223145
2003-01-17,11.613190650939941
2003-01-21,11.657856941223145
2003-01-22,11.648923873901367
2003-01-23,11.724860191345215
2003-01-24,11.992854118347168
2003-01-27,11.992854118347168
2003-01-28,11.992854118347168
2003-01-29,12.108983039855957
2003-01-30,12.059856414794922
2003-01-31,12.35018539428711
2003-02-03,12.220653533935547
2003-02-04,12.135785102844238
2003-02-05,12.175982475280762
2003-02-06,12.260848999023438
2003-02-07,12.184914588928223
2003-02-10,12.283190727233887
2003-02-11,12.14024829864502
2003-02-12,12.104521751403809
2003-02-13,12.113451957702637
2003-02-14,12.0196533203125
2003-02-18,12.149188041687012
2003-02-19,12.260848999023438
2003-02-20,12.332314491271973
2003-02-21,12.484180450439453
2003-02-24,12.274252891540527
2003-02-25,12.506515502929688
2003-02-26,12.359119415283203
2003-02-27,12.479716300964355
2003-02-28,12.506515502929688
2003-03-03,12.497586250305176
2003-03-04,12.403782844543457
2003-03-05,12.506515502929688
2003-03-06,12.41271686553955
2003-03-07,12.484180450439453
2003-03-10,12.309977531433105
2003-03-11,12.359119415283203
2003-03-12,12.242989540100098
2003-03-13,12.461847305297852
2003-03-14,12.461847305297852
2003-03-17,12.573512077331543
2003-03-18,12.5645751953125
2003-03-19,12.67624568939209
2003-03-20,12.618180274963379
2003-03-21,12.841516494750977
2003-03-24,12.555644989013672
2003-03-25,12.67624568939209
2003-03-26,12.747711181640625
2003-03-27,12.618180274963379
2003-03-28,12.667309761047363
2003-03-31,12.618180274963379
2003-04-01,12.837044715881348
2003-04-02,12.979805946350098
2003-04-03,12.939020156860352
2003-04-04,12.771329879760742
2003-04-07,12.839309692382812
2003-04-08,12.698817253112793
2003-04-09,12.399703979492188
2003-04-10,12.263738632202148
2003-04-11,12.227478981018066
2003-04-14,12.463155746459961
2003-04-15,12.517535209655762
2003-04-16,12.503938674926758
2003-04-17,12.50847053527832
2003-04-21,12.694284439086914
2003-04-22,12.803054809570312
2003-04-23,12.893702507019043
2003-04-24,12.562858581542969
2003-04-25,12.50847053527832
2003-04-28,12.440486907958984
2003-04-29,12.50847053527832
2003-04-30,12.3725004196167
2003-05-01,12.490336418151855
2003-05-02,12.494876861572266
2003-05-05,12.485817909240723
2003-05-06,12.472209930419922
2003-05-07,12.408761024475098
2003-05-08,12.621768951416016
2003-05-09,12.685221672058105
2003-05-12,12.689753532409668
2003-05-13,12.617237091064453
2003-05-14,12.503938674926758
2003-05-15,12.54925537109375
2003-05-16,12.476751327514648
2003-05-19,12.463155746459961
2003-05-20,12.580984115600586
2003-05-21,12.635367393493652
2003-05-22,12.753201484680176
2003-05-23,12.816652297973633
2003-05-27,12.780397415161133
2003-05-28,12.522067070007324
2003-05-29,12.213885307312012
