Date,SPG
2002-01-10,9.4359130859375
2002-01-11,9.407059669494629
2002-01-14,9.548128128051758
2002-01-15,9.522480964660645
2002-01-16,9.484006881713867
2002-01-17,9.560955047607422
2002-01-18,9.461563110351562
2002-01-22,9.490418434143066
2002-01-23,9.480804443359375
2002-01-24,9.58019733428955
2002-01-25,9.58660888671875
2002-01-28,9.605843544006348
2002-01-29,9.596223831176758
2002-01-30,9.647521018981934
2002-01-31,9.711649894714355
2002-02-01,9.695613861083984
2002-02-04,9.702027320861816
2002-02-05,9.727677345275879
2002-02-06,9.762947082519531
2002-02-07,9.737299919128418
2002-02-08,9.759745597839355
2002-02-11,9.839897155761719
2002-02-12,9.811041831970215
2002-02-13,9.917062759399414
2002-02-14,9.904012680053711
2002-02-15,9.992091178894043
2002-02-19,9.995357513427734
2002-02-20,9.998616218566895
2002-02-21,9.920328140258789
2002-02-22,9.972517967224121
2002-02-25,9.959468841552734
2002-02-26,10.027976036071777
2002-02-27,10.014928817749023
2002-02-28,10.041027069091797
2002-03-01,10.076910018920898
2002-03-04,10.158461570739746
2002-03-05,10.32157039642334
2002-03-06,10.302002906799316
2002-03-07,10.288955688476562
2002-03-08,10.285694122314453
2002-03-11,10.17803955078125
2002-03-12,10.142151832580566
2002-03-13,10.17803955078125
2002-03-14,10.354192733764648
2002-03-15,10.429222106933594
2002-03-18,10.595603942871094
2002-03-19,10.536881446838379
2002-03-20,10.487947463989258
2002-03-21,10.667366027832031
2002-03-22,10.664102554321289
2002-03-25,10.468367576599121
2002-03-26,10.579291343688965
2002-03-27,10.70651626586914
2002-03-28,10.644535064697266
2002-04-01,10.683677673339844
2002-04-02,10.732611656188965
2002-04-03,10.758706092834473
2002-04-04,10.788065910339355
2002-04-05,10.87614917755127
2002-04-08,10.895722389221191
2002-04-09,11.026206970214844
2002-04-10,11.081666946411133
2002-04-11,11.006634712219238
2002-04-12,11.225198745727539
2002-04-15,11.107765197753906
2002-04-16,11.029470443725586
2002-04-17,10.902244567871094
2002-04-18,10.928343772888184
2002-04-19,10.807644844055176
2002-04-22,10.78154182434082
2002-04-23,10.699987411499023
2002-04-24,10.686939239501953
2002-04-25,10.73586654663086
2002-04-26,10.85983657836914
2002-04-29,10.912030220031738
2002-04-30,11.009895324707031
2002-05-01,11.075139999389648
2002-05-02,11.176270484924316
2002-05-03,11.195843696594238
2002-05-06,11.097973823547363
2002-05-07,11.039254188537598
2002-05-08,11.042521476745605
2002-05-09,10.91529655456543
2002-05-10,10.912030220031738
2002-05-13,10.960960388183594
2002-05-14,10.990324974060059
2002-05-15,11.059969902038574
2002-05-16,10.960476875305176
