Date,T
2006-11-03,6.47769021987915
2006-11-06,6.589109897613525
2006-11-07,6.589109897613525
2006-11-08,6.6025590896606445
2006-11-09,6.420062065124512
2006-11-10,6.348983287811279
2006-11-13,6.3509039878845215
2006-11-14,6.331694602966309
2006-11-15,6.23564338684082
2006-11-16,6.224116802215576
2006-11-17,6.3777995109558105
2006-11-20,6.379721164703369
2006-11-21,6.291354656219482
2006-11-22,6.275984287261963
2006-11-24,6.275984287261963
2006-11-27,6.277904033660889
2006-11-28,6.304798603057861
2006-11-29,6.435430526733398
2006-11-30,6.514190196990967
2006-12-01,6.531480312347412
2006-12-04,6.5775861740112305
2006-12-05,6.662111282348633
2006-12-06,6.681321144104004
2006-12-07,6.6525044441223145
2006-12-08,6.717819690704346
2006-12-11,6.7581610679626465
2006-12-12,6.84652853012085
2006-12-13,6.82923698425293
2006-12-14,6.850368976593018
2006-12-15,6.850368976593018
2006-12-18,6.813872814178467
2006-12-19,6.7216620445251465
2006-12-20,6.7139763832092285
2006-12-21,6.7562408447265625
2006-12-22,6.719740867614746
2006-12-26,6.7255048751831055
2006-12-27,6.804262638092041
2006-12-28,6.819631576538086
2006-12-29,6.867657661437988
2007-01-03,6.7139763832092285
2007-01-04,6.627528667449951
2007-01-05,6.523799419403076
2007-01-08,6.586134433746338
2007-01-09,6.611461162567139
2007-01-10,6.628992080688477
2007-01-11,6.718597412109375
2007-01-12,6.765348434448242
2007-01-16,6.745870590209961
2007-01-17,6.718597412109375
2007-01-18,6.821839332580566
2007-01-19,6.831579685211182
2007-01-22,6.870540142059326
2007-01-23,6.888073444366455
2007-01-24,7.135468482971191
2007-01-25,7.166632175445557
2007-01-26,7.090664386749268
2007-01-29,7.1120924949646
2007-01-30,7.225071907043457
2007-01-31,7.330265045166016
2007-02-01,7.353639602661133
2007-02-02,7.425716400146484
2007-02-05,7.361433029174805
2007-02-06,7.306889533996582
2007-02-07,7.238709449768066
2007-02-08,7.281566619873047
2007-02-09,7.18806266784668
2007-02-12,7.199748516082764
2007-02-13,7.2445549964904785
2007-02-14,7.2445549964904785
2007-02-15,7.252346515655518
2007-02-16,7.301043510437012
2007-02-20,7.27766752243042
2007-02-21,7.248451232910156
2007-02-22,7.217281818389893
2007-02-23,7.2075395584106445
2007-02-26,7.304941177368164
2007-02-27,7.04196310043335
2007-02-28,7.168581962585449
2007-03-01,7.151052951812744
2007-03-02,7.098455429077148
2007-03-05,6.958199501037598
2007-03-06,7.012744426727295
2007-03-07,6.901709079742432
2007-03-08,7.1120924949646
2007-03-09,7.119884014129639
2007-03-12,7.2192301750183105
2007-03-13,7.258191108703613
2007-03-14,7.248451232910156
2007-03-15,7.195857524871826
2007-03-16,7.2036452293396
2007-03-19,7.320525169372559
2007-03-20,7.38480806350708
2007-03-21,7.569867134094238
2007-03-22,7.618564605712891
2007-03-23,7.573760509490967
2007-03-26,7.657526016235352
2007-03-27,7.682849407196045
2007-03-28,7.587399482727051
2007-03-29,7.630255222320557
2007-03-30,7.680906295776367
2007-04-02,7.68674373626709
2007-04-03,7.741288185119629
2007-04-04,7.641941070556641
2007-04-05,7.742498874664307
2007-04-09,7.754327297210693
2007-04-10,7.777989864349365
2007-04-11,7.67743444442749
2007-04-12,7.622230529785156
2007-04-13,7.657719135284424
2007-04-16,7.7405266761779785
2007-04-17,7.72672700881958
2007-04-18,7.683349132537842
2007-04-19,7.75038480758667
2007-04-20,7.8607964515686035
2007-04-23,7.84107780456543
2007-04-24,7.708981990814209
2007-04-25,7.716866493225098
2007-04-26,7.681375503540039
2007-04-27,7.618288516998291
2007-04-30,7.634060382843018
2007-05-01,7.657719135284424
2007-05-02,7.626174449920654
2007-05-03,7.669548988342285
2007-05-04,7.783902645111084
2007-05-07,7.80756139755249
2007-05-08,7.742498874664307
2007-05-09,7.781930923461914
2007-05-10,7.6715192794799805
2007-05-11,7.805587291717529
2007-05-14,7.892341136932373
2007-05-15,7.963321208953857
2007-05-16,8.111189842224121
2007-05-17,8.134846687316895
2007-05-18,8.10330581665039
2007-05-21,7.994865894317627
2007-05-22,7.973176956176758
2007-05-23,7.967257976531982
2007-05-24,7.969235420227051
2007-05-25,8.036270141601562
2007-05-29,7.983034133911133
2007-05-30,8.079642295837402
2007-05-31,8.150622367858887
2007-06-01,7.99092435836792
2007-06-04,8.063868522644043
2007-06-05,7.983034133911133
2007-06-06,7.961348056793213
2007-06-07,7.791789531707764
2007-06-08,7.93768835067749
2007-06-11,7.910085201263428
2007-06-12,7.705038070678711
2007-06-13,7.882482528686523
2007-06-14,7.996838569641113
2007-06-15,7.941631317138672
2007-06-18,7.888396263122559
2007-06-19,7.93374490737915
2007-06-20,7.793758869171143
2007-06-21,7.805587291717529
2007-06-22,7.659694671630859
2007-06-25,7.705038070678711
2007-06-26,7.7464399337768555
2007-06-27,7.882482528686523
2007-06-28,8.03232479095459
2007-06-29,8.182168960571289
2007-07-02,8.25117301940918
2007-07-03,8.182168960571289
2007-07-05,8.075697898864746
2007-07-06,8.109612464904785
2007-07-09,8.075701713562012
2007-07-10,7.8782501220703125
2007-07-11,7.9400787353515625
2007-07-12,8.073710441589355
2007-07-13,8.057753562927246
2007-07-16,8.019859313964844
2007-07-17,7.946062088012695
2007-07-18,7.9041829109191895
2007-07-19,7.908169269561768
2007-07-20,7.790492057800293
2007-07-23,7.983957290649414
2007-07-24,7.914151668548584
2007-07-25,8.07769775390625
2007-07-26,7.971989154815674
2007-07-27,7.826391696929932
2007-07-30,7.932100296020508
2007-07-31,7.810435771942139
2007-08-01,8.023846626281738
2007-08-02,8.09764289855957
2007-08-03,7.868276596069336
2007-08-06,8.029830932617188
2007-08-07,8.069719314575195
2007-08-08,8.047782897949219
2007-08-09,7.8283867835998535
2007-08-10,7.752596378326416
2007-08-13,7.794475555419922
2007-08-14,7.630934238433838
2007-08-15,7.577080249786377
2007-08-16,7.563119888305664
2007-08-17,7.788497447967529
2007-08-20,7.708717346191406
2007-08-21,7.728663921356201
2007-08-22,7.934092044830322
2007-08-23,7.997917652130127
2007-08-24,8.049775123596191
2007-08-27,7.997917652130127
2007-08-28,7.736639499664307
2007-08-29,8.017866134643555
2007-08-30,7.930105209350586
2007-08-31,7.952045917510986
2007-09-04,8.033820152282715
2007-09-05,7.924121379852295
2007-09-06,7.926115036010742
2007-09-07,7.724673748016357
2007-09-10,7.734645843505859
2007-09-11,7.9400787353515625
2007-09-12,7.950050354003906
2007-09-13,8.131551742553711
2007-09-14,8.065731048583984
2007-09-17,7.977972507476807
2007-09-18,8.143513679504395
2007-09-19,8.293105125427246
2007-09-20,8.382856369018555
2007-09-21,8.482579231262207
2007-09-24,8.43072509765625
2007-09-25,8.490559577941895
2007-09-26,8.542414665222168
2007-09-27,8.542414665222168
2007-09-28,8.438705444335938
2007-10-01,8.422746658325195
2007-10-02,8.458646774291992
2007-10-03,8.360918998718262
2007-10-04,8.374879837036133
2007-10-05,8.499942779541016
2007-10-08,8.457582473754883
2007-10-09,8.467668533325195
2007-10-10,8.42127513885498
2007-10-11,8.393036842346191
2007-10-12,8.530198097229004
2007-10-15,8.510025978088379
2007-10-16,8.435394287109375
2007-10-17,8.457582473754883
2007-10-18,8.43337345123291
2007-10-19,8.344625473022461
2007-10-22,8.30428409576416
2007-10-23,8.475735664367676
2007-10-24,8.38093376159668
2007-10-25,8.269991874694824
2007-10-26,8.36277961730957
2007-10-29,8.419259071350098
2007-10-30,8.352694511413574
2007-10-31,8.429343223571777
2007-11-01,8.161069869995117
2007-11-02,8.153002738952637
2007-11-05,8.076353073120117
2007-11-06,8.076353073120117
2007-11-07,7.798000812530518
2007-11-08,7.93516206741333
2007-11-09,7.906918525695801
2007-11-12,7.795982360839844
2007-11-13,8.0380277633667
2007-11-14,7.93516206741333
2007-11-15,7.941213130950928
2007-11-16,7.977518558502197
2007-11-19,7.614444732666016
2007-11-20,7.670923233032227
2007-11-21,7.553934574127197
2007-11-23,7.590242385864258
2007-11-26,7.332056522369385
2007-11-27,7.408707141876221
2007-11-28,7.564020156860352
2007-11-29,7.670923233032227
2007-11-30,7.7072296142578125
2007-12-03,7.7213521003723145
2007-12-04,7.6366353034973145
2007-12-05,7.749594211578369
2007-12-06,7.830275535583496
2007-12-07,7.759676456451416
2007-12-10,7.644701957702637
2007-12-11,7.95936393737793
2007-12-12,8.413206100463867
2007-12-13,8.43136215209961
2007-12-14,8.298234939575195
2007-12-17,8.169140815734863
2007-12-18,8.189311981201172
2007-12-19,8.056184768676758
2007-12-20,8.120733261108398
2007-12-21,8.366816520690918
2007-12-24,8.370849609375
2007-12-26,8.532215118408203
2007-12-27,8.475735664367676
2007-12-28,8.560454368591309
2007-12-31,8.382950782775879
2008-01-02,8.269991874694824
2008-01-03,8.348657608032227
2008-01-04,8.247808456420898
2008-01-07,8.356727600097656
2008-01-08,8.001132011413574
2008-01-09,7.968441009521484
2008-01-10,8.050168991088867
2008-01-11,7.804985046386719
2008-01-14,7.868323802947998
2008-01-15,7.688523769378662
2008-01-16,7.737565040588379
2008-01-17,7.621099472045898
2008-01-18,7.377956867218018
2008-01-22,7.347314834594727
2008-01-23,7.496462345123291
2008-01-24,7.3044047355651855
2008-01-25,7.204290866851807
2008-01-28,7.4372100830078125
2008-01-29,7.741644859313965
2008-01-30,7.631314277648926
2008-01-31,7.864238262176514
2008-02-01,7.821333408355713
2008-02-04,7.796813488006592
2008-02-05,7.504637718200684
2008-02-06,7.4372100830078125
2008-02-07,7.559800624847412
2008-02-08,7.431082248687744
2008-02-11,7.533238887786865
2008-02-12,7.664007186889648
2008-02-13,7.901016712188721
2008-02-14,7.731431484222412
2008-02-15,7.739604949951172
2008-02-19,7.333008289337158
2008-02-20,7.02039909362793
2008-02-21,7.042870998382568
2008-02-22,7.14708137512207
2008-02-25,7.253323554992676
2008-02-26,7.267629623413086
2008-02-27,7.192028522491455
2008-02-28,7.347314834594727
2008-02-29,7.116427421569824
2008-03-03,7.163425922393799
2008-03-04,7.124600887298584
2008-03-05,7.243109226226807
2008-03-06,7.155249118804932
2008-03-07,7.153209209442139
2008-03-10,7.079652309417725
2008-03-11,7.373874187469482
2008-03-12,7.216549396514893
2008-03-13,7.253323554992676
2008-03-14,7.157293796539307
2008-03-17,7.31257438659668
2008-03-18,7.574105262756348
2008-03-19,7.365700721740723
2008-03-20,7.529157638549805
2008-03-24,7.77025032043457
2008-03-25,7.764125823974609
2008-03-26,7.715084075927734
2008-03-27,7.694655418395996
2008-03-28,7.694655418395996
2008-03-31,7.825413703918457
2008-04-01,8.066514015197754
2008-04-02,7.911230564117432
2008-04-03,7.970483303070068
2008-04-04,7.862192153930664
2008-04-07,7.970483303070068
2008-04-08,8.036681175231934
2008-04-09,7.910336017608643
2008-04-10,7.912405014038086
2008-04-11,7.725985050201416
2008-04-14,7.705272674560547
2008-04-15,7.732199668884277
2008-04-16,7.790196895599365
2008-04-17,7.781914234161377
2008-04-18,7.769484996795654
2008-04-21,7.7860565185546875
2008-04-22,7.831622123718262
2008-04-23,7.980758190155029
2008-04-24,8.005613327026367
2008-04-25,7.991116046905518
2008-04-28,7.933117866516113
2008-04-29,7.993185520172119
2008-04-30,8.018041610717773
2008-05-01,8.272809982299805
2008-05-02,8.312166213989258
2008-05-05,8.254169464111328
2008-05-06,8.194103240966797
2008-05-07,8.040825843811035
2008-05-08,8.049110412597656
2008-05-09,7.993185520172119
2008-05-12,8.100895881652832
2008-05-13,8.131962776184082
2008-05-14,8.204461097717285
2008-05-15,8.256237983703613
2008-05-16,8.299738883972168
2008-05-19,8.390875816345215
2008-05-20,8.15474796295166
2008-05-21,8.055325508117676
2008-05-22,8.11539363861084
2008-05-23,7.980758190155029
2008-05-27,8.042899131774902
