Date,PGR
2013-09-16,17.673242568969727
2013-09-17,17.733888626098633
2013-09-18,18.003395080566406
2013-09-19,18.192054748535156
2013-09-20,18.178579330444336
2013-09-23,18.178579330444336
2013-09-24,18.232486724853516
2013-09-25,18.373977661132812
2013-09-26,18.42787742614746
2013-09-27,18.40765953063965
2013-09-30,18.34701919555664
2013-10-01,18.42787742614746
2013-10-02,18.380720138549805
2013-10-03,18.313331604003906
2013-10-04,18.42787742614746
2013-10-07,18.21900177001953
2013-10-08,17.922542572021484
2013-10-09,17.875377655029297
2013-10-10,18.151628494262695
2013-10-11,18.01687240600586
2013-10-14,18.030351638793945
2013-10-15,17.936019897460938
2013-10-16,18.252696990966797
2013-10-17,18.279647827148438
2013-10-18,18.286386489868164
2013-10-21,18.299861907958984
2013-10-22,18.030351638793945
2013-10-23,18.165102005004883
2013-10-24,18.08424949645996
2013-10-25,17.82147789001465
2013-10-28,17.679977416992188
2013-10-29,17.686716079711914
2013-10-30,17.626083374023438
2013-10-31,17.49806022644043
2013-11-01,17.531753540039062
2013-11-04,17.646289825439453
2013-11-05,17.679977416992188
2013-11-06,17.868637084960938
2013-11-07,17.626083374023438
2013-11-08,17.909067153930664
2013-11-11,17.868637084960938
2013-11-12,17.868637084960938
2013-11-13,18.239219665527344
2013-11-14,18.454830169677734
2013-11-15,18.461566925048828
2013-11-18,18.36724090576172
2013-11-19,18.40093231201172
2013-11-20,18.39419174194336
2013-11-21,18.616535186767578
2013-11-22,18.64348602294922
2013-11-25,18.697391510009766
2013-11-26,18.879308700561523
2013-11-27,18.845623016357422
2013-11-29,18.81867218017578
2013-12-02,18.960168838500977
2013-12-03,18.7984561920166
2013-12-04,18.495256423950195
2013-12-05,18.286386489868164
2013-12-06,18.54915428161621
2013-12-09,18.535686492919922
2013-12-10,18.421142578125
2013-12-11,18.192054748535156
2013-12-12,17.868637084960938
2013-12-13,17.679977416992188
2013-12-16,17.733888626098633
2013-12-17,17.626083374023438
2013-12-18,17.861902236938477
2013-12-19,17.989927291870117
2013-12-20,18.070772171020508
2013-12-23,18.077512741088867
2013-12-24,18.14488983154297
2013-12-26,18.239219665527344
2013-12-27,18.239219665527344
2013-12-30,18.299861907958984
2013-12-31,18.373977661132812
2014-01-02,18.003395080566406
2014-01-03,17.747358322143555
2014-01-06,17.6328182220459
2014-01-07,17.53848648071289
2014-01-08,17.329620361328125
2014-01-09,17.450899124145508
2014-01-10,17.47785186767578
2014-01-13,17.316139221191406
2014-01-14,17.55870246887207
2014-01-15,17.511539459228516
2014-01-16,17.417205810546875
2014-01-17,17.336353302001953
2014-01-21,17.471111297607422
2014-01-22,17.12074851989746
2014-01-23,16.972518920898438
2014-01-24,16.709739685058594
2014-01-27,16.61868667602539
2014-01-28,16.81943130493164
2014-01-29,16.81226348876953
2014-01-30,16.891130447387695
2014-01-31,16.661706924438477
2014-02-03,16.195697784423828
2014-02-04,16.217201232910156
2014-02-05,16.202865600585938
2014-02-06,16.417940139770508
2014-02-07,16.582841873168945
2014-02-10,16.61868667602539
2014-02-11,16.840938568115234
2014-02-12,16.891130447387695
2014-02-13,17.099040985107422
2014-02-14,17.19223976135254
2014-02-18,17.113378524780273
2014-02-19,17.02734375
2014-02-20,17.185075759887695
2014-02-21,17.14922332763672
2014-02-24,17.034513473510742
2014-02-25,16.991497039794922
2014-02-26,17.134885787963867
2014-02-27,17.33562469482422
2014-02-28,17.557880401611328
2014-03-03,17.29261016845703
2014-03-04,17.364307403564453
2014-03-05,17.421667098999023
2014-03-06,17.529207229614258
2014-03-07,17.529207229614258
2014-03-10,17.565053939819336
2014-03-11,17.579391479492188
2014-03-12,16.90546417236328
2014-03-13,16.776416778564453
2014-03-14,16.991497039794922
2014-03-17,17.01300811767578
2014-03-18,16.95565414428711
2014-03-19,16.80509376525879
2014-03-20,17.07753562927246
2014-03-21,17.364307403564453
2014-03-24,17.285444259643555
2014-03-25,17.3212947845459
2014-03-26,17.134885787963867
2014-03-27,17.04168701171875
2014-03-28,17.19223976135254
2014-03-31,17.364307403564453
2014-04-01,17.27110481262207
2014-04-02,17.285444259643555
2014-04-03,17.565053939819336
2014-04-04,17.400157928466797
2014-04-07,17.285444259643555
2014-04-08,17.3212947845459
2014-04-09,17.249597549438477
2014-04-10,17.070358276367188
2014-04-11,16.962818145751953
2014-04-14,17.14922332763672
2014-04-15,17.084699630737305
2014-04-16,17.199413299560547
2014-04-17,17.177902221679688
2014-04-21,17.091873168945312
2014-04-22,17.034513473510742
2014-04-23,16.984325408935547
2014-04-24,17.16356086730957
2014-04-25,17.056018829345703
2014-04-28,17.199413299560547
2014-04-29,17.249597549438477
2014-04-30,17.38581657409668
2014-05-01,17.909181594848633
2014-05-02,17.780132293701172
2014-05-05,17.823148727416992
2014-05-06,17.622411727905273
2014-05-07,17.64391326904297
2014-05-08,17.651079177856445
2014-05-09,17.665424346923828
2014-05-12,17.808807373046875
2014-05-13,17.945026397705078
2014-05-14,18.23897933959961
2014-05-15,18.145776748657227
2014-05-16,18.18161964416504
2014-05-19,18.167278289794922
2014-05-20,18.03106689453125
2014-05-21,18.117095947265625
2014-05-22,18.038230895996094
2014-05-23,17.995216369628906
2014-05-27,17.96653938293457
2014-05-28,18.109928131103516
2014-05-29,18.04540252685547
2014-05-30,17.945026397705078
2014-06-02,17.85899543762207
