Date,AIG
2007-04-30,848.7716064453125
2007-05-01,850.2288208007812
2007-05-02,854.9636840820312
2007-05-03,857.7559814453125
2007-05-04,860.1840209960938
2007-05-07,869.2896728515625
2007-05-08,871.1111450195312
2007-05-09,874.1461791992188
2007-05-10,876.574462890625
2007-05-11,881.1878662109375
2007-05-14,879.8521728515625
2007-05-15,874.995849609375
2007-05-16,879.73095703125
2007-05-17,876.574462890625
2007-05-18,876.8171997070312
2007-05-21,874.024658203125
2007-05-22,873.4180297851562
2007-05-23,873.0531616210938
2007-05-24,868.5616455078125
2007-05-25,873.5392456054688
2007-05-29,872.810791015625
2007-05-30,877.2526245117188
2007-05-31,880.2945556640625
2007-06-01,884.0667114257812
2007-06-04,882.8502197265625
2007-06-05,880.0513916015625
2007-06-06,878.22607421875
2007-06-07,868.6121215820312
2007-06-08,870.4378662109375
2007-06-11,871.8980712890625
2007-06-12,870.559814453125
2007-06-13,882.36328125
2007-06-14,880.2945556640625
2007-06-15,882.7283325195312
2007-06-18,882.2416381835938
2007-06-19,883.580322265625
2007-06-20,876.4009399414062
2007-06-21,876.7656860351562
2007-06-22,867.0303344726562
2007-06-25,865.3270263671875
2007-06-26,863.2581176757812
2007-06-27,859.120849609375
2007-06-28,857.2955322265625
2007-06-29,852.1846313476562
2007-07-02,854.2534790039062
2007-07-03,857.1738891601562
2007-07-05,855.105224609375
2007-07-06,852.7933349609375
2007-07-09,854.6185302734375
2007-07-10,838.7989501953125
2007-07-11,835.2699584960938
2007-07-12,843.423095703125
2007-07-13,846.3434448242188
2007-07-16,849.2637939453125
2007-07-17,847.6822509765625
2007-07-18,845.7348022460938
2007-07-19,847.6822509765625
2007-07-20,840.1371459960938
2007-07-23,837.8255615234375
2007-07-24,823.9528198242188
2007-07-25,829.4287719726562
2007-07-26,810.688720703125
2007-07-27,795.3558959960938
2007-07-30,793.53076171875
2007-07-31,780.9967041015625
2007-08-01,785.7427978515625
2007-08-02,776.494384765625
2007-08-03,750.087890625
2007-08-06,785.62109375
2007-08-07,797.6681518554688
2007-08-08,808.9851684570312
2007-08-09,782.4570922851562
2007-08-10,786.9595947265625
2007-08-13,788.2980346679688
2007-08-14,771.869873046875
2007-08-15,769.3147583007812
2007-08-16,778.1978149414062
2007-08-17,802.6573486328125
2007-08-20,800.1019897460938
2007-08-21,800.83203125
2007-08-22,811.5404052734375
2007-08-23,816.2863159179688
2007-08-24,822.6143798828125
2007-08-27,815.9215087890625
2007-08-28,793.7739868164062
2007-08-29,804.7259521484375
2007-08-30,798.2766723632812
2007-08-31,803.14404296875
2007-09-04,809.9588012695312
2007-09-05,799.4620361328125
2007-09-06,790.1859741210938
2007-09-07,775.6610717773438
2007-09-10,782.9844360351562
2007-09-11,792.2606201171875
2007-09-12,789.5755615234375
2007-09-13,794.5797119140625
2007-09-14,792.8709716796875
2007-09-17,792.9929809570312
2007-09-18,815.9393310546875
2007-09-19,824.6051025390625
2007-09-20,819.478759765625
2007-09-21,820.5773315429688
2007-09-24,814.8408813476562
2007-09-25,818.7465209960938
2007-09-26,824.2390747070312
2007-09-27,823.5067138671875
2007-09-28,825.7035522460938
2007-10-01,837.1771240234375
2007-10-02,841.5709838867188
2007-10-03,841.08251953125
2007-10-04,841.2044677734375
2007-10-05,846.9415283203125
2007-10-08,846.6973876953125
2007-10-09,855.7294921875
2007-10-10,836.4447631835938
2007-10-11,831.5623779296875
2007-10-12,831.0743408203125
2007-10-15,815.2069702148438
2007-10-16,808.4942626953125
2007-10-17,803.1234130859375
2007-10-18,791.894287109375
2007-10-19,772.2437133789062
2007-10-22,775.5389404296875
2007-10-23,784.4488525390625
2007-10-24,779.2008056640625
2007-10-25,754.1792602539062
2007-10-26,758.5732421875
2007-10-29,771.3893432617188
2007-10-30,766.6289672851562
2007-10-31,770.4126586914062
2007-11-01,723.6656494140625
2007-11-02,721.5906982421875
2007-11-05,726.5949096679688
2007-11-06,757.3527221679688
2007-11-07,706.699951171875
2007-11-08,683.5093994140625
2007-11-09,696.4473876953125
2007-11-12,693.02978515625
2007-11-13,722.3229370117188
