Date,CIEN
2009-01-30,6.239999771118164
2009-02-02,5.980000019073486
2009-02-03,6.179999828338623
2009-02-04,6.010000228881836
2009-02-05,6.460000038146973
2009-02-06,6.650000095367432
2009-02-09,6.570000171661377
2009-02-10,6.110000133514404
2009-02-11,6.300000190734863
2009-02-12,6.349999904632568
2009-02-13,6.369999885559082
2009-02-17,5.860000133514404
2009-02-18,5.650000095367432
2009-02-19,5.429999828338623
2009-02-20,5.340000152587891
2009-02-23,5.090000152587891
2009-02-24,5.599999904632568
2009-02-25,5.449999809265137
2009-02-26,5.730000019073486
2009-02-27,5.369999885559082
2009-03-02,5.28000020980835
2009-03-03,5.130000114440918
2009-03-04,5.340000152587891
2009-03-05,5.929999828338623
2009-03-06,6.110000133514404
2009-03-09,6.260000228881836
2009-03-10,7.0
2009-03-11,6.760000228881836
2009-03-12,7.28000020980835
2009-03-13,6.900000095367432
2009-03-16,6.690000057220459
2009-03-17,7.099999904632568
2009-03-18,7.400000095367432
2009-03-19,7.28000020980835
2009-03-20,6.75
2009-03-23,7.230000019073486
2009-03-24,7.25
2009-03-25,7.449999809265137
2009-03-26,8.40999984741211
2009-03-27,8.220000267028809
2009-03-30,7.880000114440918
2009-03-31,7.78000020980835
2009-04-01,8.260000228881836
2009-04-02,8.609999656677246
2009-04-03,8.869999885559082
2009-04-06,8.430000305175781
2009-04-07,8.170000076293945
2009-04-08,8.670000076293945
2009-04-09,9.069999694824219
2009-04-13,8.970000267028809
2009-04-14,8.520000457763672
2009-04-15,8.699999809265137
2009-04-16,9.520000457763672
2009-04-17,9.920000076293945
2009-04-20,9.069999694824219
2009-04-21,9.479999542236328
2009-04-22,9.9399995803833
2009-04-23,9.970000267028809
2009-04-24,11.210000038146973
2009-04-27,10.829999923706055
2009-04-28,11.210000038146973
2009-04-29,11.59000015258789
2009-04-30,11.949999809265137
2009-05-01,11.979999542236328
2009-05-04,12.25
2009-05-05,12.09000015258789
2009-05-06,12.1899995803833
2009-05-07,10.989999771118164
2009-05-08,11.34000015258789
2009-05-11,10.729999542236328
2009-05-12,9.9399995803833
2009-05-13,9.380000114440918
2009-05-14,9.550000190734863
2009-05-15,9.59000015258789
2009-05-18,10.470000267028809
2009-05-19,11.270000457763672
2009-05-20,10.899999618530273
2009-05-21,10.90999984741211
2009-05-22,10.65999984741211
2009-05-26,11.050000190734863
2009-05-27,10.84000015258789
2009-05-28,10.8100004196167
2009-05-29,11.0
2009-06-01,12.0
2009-06-02,11.739999771118164
2009-06-03,11.020000457763672
2009-06-04,11.630000114440918
2009-06-05,10.770000457763672
2009-06-08,10.609999656677246
2009-06-09,10.920000076293945
2009-06-10,10.760000228881836
2009-06-11,10.4399995803833
2009-06-12,10.1899995803833
2009-06-15,10.010000228881836
2009-06-16,10.050000190734863
2009-06-17,10.0
2009-06-18,9.800000190734863
2009-06-19,10.609999656677246
2009-06-22,9.859999656677246
2009-06-23,9.710000038146973
2009-06-24,9.729999542236328
2009-06-25,10.149999618530273
2009-06-26,10.25
2009-06-29,10.390000343322754
2009-06-30,10.350000381469727
2009-07-01,10.329999923706055
2009-07-02,9.899999618530273
2009-07-06,9.390000343322754
2009-07-07,8.84000015258789
2009-07-08,8.930000305175781
2009-07-09,9.300000190734863
2009-07-10,9.329999923706055
2009-07-13,9.529999732971191
2009-07-14,9.65999984741211
2009-07-15,10.050000190734863
2009-07-16,10.25
2009-07-17,10.020000457763672
2009-07-20,10.180000305175781
2009-07-21,10.300000190734863
2009-07-22,10.34000015258789
2009-07-23,11.149999618530273
2009-07-24,11.4399995803833
2009-07-27,11.739999771118164
2009-07-28,11.630000114440918
2009-07-29,11.25
2009-07-30,11.15999984741211
2009-07-31,11.15999984741211
2009-08-03,11.380000114440918
2009-08-04,11.5
2009-08-05,11.569999694824219
2009-08-06,11.369999885559082
2009-08-07,11.65999984741211
2009-08-10,11.649999618530273
2009-08-11,11.359999656677246
2009-08-12,11.8100004196167
2009-08-13,12.630000114440918
2009-08-14,12.520000457763672
2009-08-17,11.75
2009-08-18,12.8100004196167
2009-08-19,13.199999809265137
2009-08-20,13.050000190734863
2009-08-21,13.430000305175781
2009-08-24,13.170000076293945
2009-08-25,12.960000038146973
2009-08-26,13.319999694824219
2009-08-27,13.4399995803833
2009-08-28,13.619999885559082
2009-08-31,13.399999618530273
2009-09-01,12.359999656677246
2009-09-02,12.270000457763672
2009-09-03,13.0
2009-09-04,13.649999618530273
2009-09-08,14.430000305175781
2009-09-09,14.819999694824219
2009-09-10,15.670000076293945
2009-09-11,15.829999923706055
2009-09-14,15.600000381469727
2009-09-15,15.899999618530273
2009-09-16,16.25
2009-09-17,16.200000762939453
2009-09-18,16.030000686645508
2009-09-21,16.190000534057617
2009-09-22,16.5
2009-09-23,16.209999084472656
2009-09-24,15.869999885559082
2009-09-25,15.489999771118164
2009-09-28,16.200000762939453
2009-09-29,16.260000228881836
2009-09-30,16.280000686645508
2009-10-01,15.050000190734863
2009-10-02,14.65999984741211
2009-10-05,14.170000076293945
2009-10-06,13.050000190734863
2009-10-07,13.4399995803833
2009-10-08,12.770000457763672
2009-10-09,12.84000015258789
2009-10-12,13.40999984741211
2009-10-13,13.460000038146973
2009-10-14,14.420000076293945
2009-10-15,14.170000076293945
