Date,RF
2001-02-20,10.526250839233398
2001-02-21,10.504325866699219
2001-02-22,10.504325866699219
2001-02-23,10.542698860168457
2001-02-26,10.657828330993652
2001-02-27,10.613971710205078
2001-02-28,10.526250839233398
2001-03-01,10.657828330993652
2001-03-02,10.942919731140137
2001-03-05,10.96484375
2001-03-06,10.92098331451416
2001-03-07,11.22800064086914
2001-03-08,11.22800064086914
2001-03-09,10.96484375
2001-03-12,10.46046257019043
2001-03-13,10.657828330993652
2001-03-14,10.247915267944336
2001-03-15,10.424985885620117
2001-03-16,10.270044326782227
2001-03-19,10.203642845153809
2001-03-20,9.93803882598877
2001-03-21,9.628166198730469
2001-03-22,9.473230361938477
2001-03-23,9.80523681640625
2001-03-26,9.960174560546875
2001-03-27,9.982303619384766
2001-03-28,9.960174560546875
2001-03-29,9.976775169372559
2001-03-30,10.070839881896973
2001-04-02,10.22578239440918
2001-04-03,10.22578239440918
2001-04-04,9.915902137756348
2001-04-05,10.358579635620117
2001-04-06,10.22578239440918
2001-04-09,10.287752151489258
2001-04-10,10.599396705627441
2001-04-11,10.673762321472168
2001-04-12,10.744593620300293
2001-04-16,10.656059265136719
2001-04-17,10.638352394104004
2001-04-18,11.0066556930542
2001-04-19,10.985406875610352
2001-04-20,10.879168510437012
2001-04-23,10.900419235229492
2001-04-24,10.794173240661621
2001-04-25,10.818965911865234
2001-04-26,10.673762321472168
2001-04-27,10.978326797485352
2001-04-30,10.783551216125488
2001-05-01,10.624184608459473
2001-05-02,10.801259994506836
2001-05-03,10.769384384155273
2001-05-04,10.818965911865234
2001-05-07,10.748133659362793
2001-05-08,10.684393882751465
2001-05-09,10.638352394104004
2001-05-10,10.634808540344238
2001-05-11,10.606476783752441
2001-05-14,10.684393882751465
2001-05-15,10.744593620300293
2001-05-16,10.97478199005127
2001-05-17,10.868539810180664
2001-05-18,10.811875343322754
2001-05-21,10.772932052612305
2001-05-22,10.914578437805176
2001-05-23,10.907498359680176
2001-05-24,10.893328666687012
2001-05-25,10.818965911865234
2001-05-29,10.942914962768555
2001-05-30,10.843750953674316
2001-05-31,10.988947868347168
2001-06-01,11.003113746643066
2001-06-04,11.045609474182129
2001-06-05,11.183723449707031
2001-06-06,11.091646194458008
2001-06-07,11.045609474182129
2001-06-08,10.946457862854004
2001-06-11,10.88979434967041
2001-06-12,10.85792064666748
2001-06-13,10.779290199279785
2001-06-14,10.579141616821289
2001-06-15,10.757842063903809
2001-06-18,10.840054512023926
2001-06-19,11.022323608398438
2001-06-20,11.14741325378418
2001-06-21,11.411894798278809
2001-06-22,11.17600154876709
2001-06-25,11.201031684875488
2001-06-26,11.197453498840332
2001-06-27,11.161712646484375
2001-06-28,11.347558975219727
2001-06-29,11.436910629272461
2001-07-02,11.486953735351562
2001-07-03,11.444061279296875
2001-07-05,11.394024848937988
2001-07-06,11.22604751586914
2001-07-09,11.211749076843262
2001-07-10,11.040190696716309
2001-07-11,11.079507827758789
2001-07-12,11.22604751586914
2001-07-13,11.404745101928711
2001-07-16,11.304671287536621
2001-07-17,11.476226806640625
2001-07-18,11.55486011505127
2001-07-19,11.451207160949707
2001-07-20,11.326115608215332
2001-07-23,11.308249473571777
2001-07-24,11.22604751586914
2001-07-25,11.14383602142334
2001-07-26,11.311823844909668
2001-07-27,11.433338165283203
2001-07-30,11.422612190246582
2001-07-31,11.436910629272461
2001-08-01,11.515541076660156
2001-08-02,11.486953735351562
2001-08-03,11.562003135681152
2001-08-06,11.469077110290527
2001-08-07,11.54056167602539
2001-08-08,11.436910629272461
2001-08-09,11.433338165283203
2001-08-10,11.436910629272461
2001-08-13,11.4476318359375
2001-08-14,11.408317565917969
2001-08-15,11.311823844909668
2001-08-16,11.394024848937988
2001-08-17,11.286798477172852
2001-08-20,11.254632949829102
2001-08-21,11.2296142578125
2001-08-22,11.290373802185059
2001-08-23,11.168862342834473
2001-08-24,11.025895118713379
2001-08-27,10.743547439575195
2001-08-28,10.736400604248047
2001-08-29,10.579141616821289
2001-08-30,10.532682418823242
2001-08-31,10.507664680480957
