Date,ETN
2021-11-01,152.45046997070312
2021-11-02,159.21311950683594
2021-11-03,157.22793579101562
2021-11-04,159.53773498535156
2021-11-05,158.90695190429688
2021-11-08,161.1519012451172
2021-11-09,162.02389526367188
2021-11-10,160.1324920654297
2021-11-11,158.315673828125
2021-11-12,160.06727600097656
2021-11-15,160.94309997558594
2021-11-16,161.93069458007812
2021-11-17,161.27853393554688
2021-11-18,161.48350524902344
2021-11-19,160.5331573486328
2021-11-22,160.55177307128906
2021-11-23,160.7847137451172
2021-11-24,159.27537536621094
2021-11-26,156.07025146484375
2021-11-29,155.9491424560547
2021-11-30,150.99246215820312
2021-12-01,150.44276428222656
2021-12-02,155.25038146972656
2021-12-03,155.0733642578125
2021-12-06,158.23182678222656
2021-12-07,158.9398956298828
2021-12-08,158.315673828125
2021-12-09,157.0764923095703
2021-12-10,158.81881713867188
2021-12-13,158.11073303222656
2021-12-14,153.5825958251953
2021-12-15,157.7007293701172
2021-12-16,157.2721710205078
2021-12-17,153.7969207763672
2021-12-20,152.85586547851562
2021-12-21,155.81874084472656
2021-12-22,155.35284423828125
2021-12-23,156.56407165527344
2021-12-27,159.0144805908203
2021-12-28,159.50827026367188
2021-12-29,159.98345947265625
2021-12-30,159.7132568359375
2021-12-31,161.01763916015625
2022-01-03,157.14173889160156
2022-01-04,159.75050354003906
2022-01-05,157.4678497314453
2022-01-06,157.8404998779297
2022-01-07,156.3870391845703
2022-01-10,155.0546875
2022-01-11,156.3031768798828
2022-01-12,159.75050354003906
2022-01-13,159.48960876464844
2022-01-14,159.24737548828125
2022-01-18,155.25038146972656
2022-01-19,152.23162841796875
2022-01-20,150.0607452392578
2022-01-21,149.57626342773438
2022-01-24,149.74398803710938
2022-01-25,146.68797302246094
2022-01-26,147.43338012695312
2022-01-27,144.8059539794922
2022-01-28,145.9892120361328
2022-01-31,147.61036682128906
2022-02-01,148.50482177734375
2022-02-02,150.38681030273438
2022-02-03,146.11962890625
2022-02-04,140.6877899169922
2022-02-07,139.877197265625
2022-02-08,141.1536407470703
2022-02-09,146.13827514648438
2022-02-10,144.21897888183594
2022-02-11,140.37100219726562
2022-02-14,141.77789306640625
2022-02-15,144.90843200683594
2022-02-16,146.3059844970703
2022-02-17,141.9921417236328
2022-02-18,142.88662719726562
2022-02-22,141.39588928222656
2022-02-23,139.1131591796875
2022-02-24,140.04489135742188
