Date,BALL
2003-07-11,4.412704944610596
2003-07-14,4.339494705200195
2003-07-15,4.270296096801758
2003-07-16,4.543081760406494
2003-07-17,4.512996196746826
2003-07-18,4.5872087478637695
2003-07-21,4.452820301055908
2003-07-22,4.613282680511475
2003-07-23,4.874034404754639
2003-07-24,4.995381832122803
2003-07-25,5.044525146484375
2003-07-28,5.051546096801758
2003-07-29,4.983348846435547
2003-07-30,4.9602837562561035
2003-07-31,4.984350681304932
2003-08-01,4.854978084564209
2003-08-04,4.902115821838379
2003-08-05,4.848962783813477
2003-08-06,4.8640055656433105
2003-08-07,4.900106906890869
2003-08-08,4.9231743812561035
2003-08-11,4.914148330688477
2003-08-12,4.913147449493408
2003-08-13,4.933205604553223
2003-08-14,5.022461414337158
2003-08-15,5.0254693031311035
2003-08-18,5.026474475860596
2003-08-19,5.029478073120117
2003-08-20,4.982346057891846
2003-08-21,5.014435768127441
2003-08-22,4.942229270935059
2003-08-25,4.874034404754639
2003-08-26,4.874034404754639
2003-08-27,4.909133434295654
2003-08-28,5.094234943389893
2003-08-29,5.311522483825684
2003-09-02,5.313534736633301
2003-09-03,5.351761817932129
2003-09-04,5.327617645263672
2003-09-05,5.366851329803467
2003-09-08,5.3497490882873535
2003-09-09,5.298444747924805
2003-09-10,5.170686721801758
2003-09-11,5.117371082305908
2003-09-12,5.289392948150635
2003-09-15,5.363835334777832
2003-09-16,5.369869232177734
2003-09-17,5.3769097328186035
2003-09-18,5.452359199523926
2003-09-19,5.43223762512207
2003-09-22,5.379926681518555
2003-09-23,5.452359199523926
2003-09-24,5.482539176940918
2003-09-25,5.43223762512207
2003-09-26,5.476499557495117
2003-09-29,5.441290378570557
2003-09-30,5.43223762512207
2003-10-01,5.520763397216797
2003-10-02,5.578104496002197
2003-10-03,5.609288692474365
2003-10-06,5.618341445922852
2003-10-07,5.662604808807373
2003-10-08,5.657576084136963
2003-10-09,5.6907734870910645
2003-10-10,5.643493175506592
2003-10-13,5.707876205444336
2003-10-14,5.6776957511901855
2003-10-15,5.654560089111328
2003-10-16,5.643493175506592
