Date,DIS
2020-04-16,99.67276763916016
2020-04-17,104.17669677734375
2020-04-20,99.9072494506836
2020-04-21,98.22681427001953
2020-04-22,98.66646575927734
2020-04-23,98.67623138427734
2020-04-24,98.86186981201172
2020-04-27,103.61981201171875
2020-04-28,103.766357421875
2020-04-29,109.66740417480469
2020-04-30,105.66173553466797
2020-05-01,103.07270050048828
2020-05-04,100.80606842041016
2020-05-05,98.73484802246094
2020-05-06,98.55899047851562
2020-05-07,103.14109802246094
2020-05-08,106.64849090576172
2020-05-11,105.29045867919922
2020-05-12,102.15432739257812
2020-05-13,100.55205535888672
2020-05-14,103.47327423095703
2020-05-15,106.54102325439453
2020-05-18,114.16156005859375
2020-05-19,111.73863220214844
2020-05-20,117.16092681884766
2020-05-21,115.1190185546875
2020-05-22,115.30464935302734
2020-05-26,118.167236328125
2020-05-27,118.73388671875
2020-05-28,114.0638656616211
2020-05-29,114.60120391845703
2020-06-01,116.03738403320312
2020-06-02,116.0178451538086
2020-06-03,119.36892700195312
2020-06-04,120.84418487548828
2020-06-05,121.94819641113281
2020-06-08,124.35160064697266
2020-06-09,121.03959655761719
2020-06-10,119.36892700195312
2020-06-11,110.04842376708984
2020-06-12,112.83284759521484
2020-06-15,114.38627624511719
2020-06-16,115.71498107910156
2020-06-17,114.94316864013672
2020-06-18,115.64659118652344
2020-06-19,111.71907806396484
2020-06-22,113.25296020507812
2020-06-23,113.90753173828125
2020-06-24,109.49153900146484
2020-06-25,108.7978744506836
2020-06-26,106.5898666381836
2020-06-29,108.95418548583984
2020-06-30,108.94442749023438
2020-07-01,110.409912109375
2020-07-02,109.59901428222656
2020-07-06,111.79724884033203
2020-07-07,111.0156478881836
2020-07-08,113.97593688964844
2020-07-09,114.12248229980469
2020-07-10,116.59427642822266
2020-07-13,113.54605865478516
2020-07-14,115.92991638183594
2020-07-15,118.11839294433594
2020-07-16,116.68220520019531
2020-07-17,115.92015075683594
2020-07-20,115.07994842529297
2020-07-21,115.8908462524414
2020-07-22,116.29139709472656
2020-07-23,115.40234375
2020-07-24,114.90409088134766
2020-07-27,113.63398742675781
2020-07-28,113.5069808959961
2020-07-29,112.95008850097656
2020-07-30,112.99893951416016
2020-07-31,114.24949645996094
2020-08-03,113.6730728149414
2020-08-04,114.59143829345703
2020-08-05,124.67400360107422
2020-08-06,127.81015014648438
2020-08-07,126.94060516357422
2020-08-10,125.82685852050781
2020-08-11,127.48773956298828
2020-08-12,128.75784301757812
2020-08-13,127.94694519042969
2020-08-14,127.52680969238281
2020-08-17,126.39350128173828
2020-08-18,125.95384979248047
2020-08-19,124.83031463623047
2020-08-20,125.17225646972656
2020-08-21,124.50791931152344
2020-08-24,127.68314361572266
2020-08-25,126.8038330078125
2020-08-26,129.1388397216797
2020-08-27,130.65318298339844
2020-08-28,132.42153930664062
2020-08-31,128.83599853515625
2020-09-01,130.4773406982422
2020-09-02,132.27500915527344
2020-09-03,130.17446899414062
2020-09-04,128.95323181152344
2020-09-08,131.11239624023438
2020-09-09,130.2917022705078
2020-09-10,130.15492248535156
2020-09-11,128.71875
2020-09-14,128.23025512695312
2020-09-15,128.2205047607422
2020-09-16,129.05091857910156
2020-09-17,127.22395324707031
2020-09-18,125.6705322265625
2020-09-21,122.52462768554688
2020-09-22,124.283203125
2020-09-23,120.44361877441406
2020-09-24,119.67179870605469
2020-09-25,121.14706420898438
2020-09-28,123.09127044677734
2020-09-29,122.51485443115234
2020-09-30,121.2252197265625
2020-10-01,120.47293090820312
2020-10-02,119.73042297363281
2020-10-05,120.53155517578125
