Date,SPY,QQQ,SMH,RSP,IWM,HYG,LQD,^VIX,^VIX3M
2019-06-10,259.6453552246094,175.18856811523438,50.640743255615234,93.35246276855469,138.6249542236328,59.4157829284668,94.36151123046875,15.9399995803833,16.8799991607666
2019-06-11,259.58251953125,175.4276885986328,50.825862884521484,93.25548553466797,138.21392822265625,59.49845886230469,94.447265625,15.989999771118164,16.989999771118164
2019-06-12,259.1241760253906,174.41378784179688,49.724666595458984,93.14088439941406,138.3692169189453,59.360633850097656,94.58746337890625,15.90999984741211,17.049999237060547
2019-06-13,260.1934814453125,175.44691467285156,49.97148132324219,93.68744659423828,139.8308563232422,59.49845886230469,94.82898712158203,15.819999694824219,16.860000610351562
2019-06-14,259.906005859375,174.70077514648438,48.7278938293457,93.43181610107422,138.60678100585938,59.45713424682617,94.8679428100586,15.279999732971191,16.600000381469727
2019-06-17,260.0047607421875,175.75296020507812,48.42885971069336,93.28195190429688,139.56285095214844,59.36758041381836,94.91468811035156,15.350000381469727,16.610000610351562
2019-06-18,262.7273254394531,178.306884765625,50.3986701965332,94.19879150390625,141.18548583984375,59.78094482421875,95.54570007324219,15.149999618530273,16.5
2019-06-19,263.3203430175781,178.97645568847656,50.517333984375,94.54261016845703,141.68963623046875,60.06348419189453,96.1534194946289,14.329999923706055,16.100000381469727
2019-06-20,265.83612060546875,180.64080810546875,51.101158142089844,95.37133026123047,142.35890197753906,60.36663818359375,96.67533111572266,14.75,16.139999389648438
2019-06-21,265.44976806640625,180.37298583984375,50.85908889770508,95.15092468261719,141.13047790527344,60.173736572265625,96.32478332519531,15.399999618530273,16.670000076293945
2019-06-24,265.1247253417969,180.37869262695312,50.95401382446289,94.74352264404297,139.41624450683594,60.16682052612305,96.56631469726562,15.260000228881836,16.469999313354492
2019-06-25,262.5243835449219,177.28231811523438,50.071163177490234,94.16789245605469,138.5635986328125,59.91187286376953,96.27803802490234,16.280000686645508,17.1200008392334
2019-06-26,262.2625427246094,178.1067352294922,51.55207443237305,94.00846862792969,138.24282836914062,59.88431167602539,96.0832748413086,16.209999084472656,17.049999237060547
2019-06-27,263.1925354003906,178.78741455078125,52.24507141113281,94.60184478759766,140.83712768554688,60.04971694946289,96.64420318603516,15.819999694824219,16.760000228881836
2019-06-28,264.5467834472656,179.01748657226562,52.29728698730469,95.46975708007812,142.5513916015625,60.07038879394531,96.89348602294922,15.079999923706055,16.059999465942383
2019-07-01,266.9485168457031,181.43325805664062,53.77345657348633,96.15167999267578,143.10142517089844,60.08835983276367,97.07713317871094,14.0600004196167,15.430000305175781
2019-07-02,267.6437683105469,182.15225219726562,53.14216995239258,96.04539489746094,142.23056030273438,60.2198486328125,97.3427963256836,12.930000305175781,14.720000267028809
2019-07-03,269.7835693359375,183.5230712890625,52.94755935668945,96.92214965820312,143.24810791015625,60.44826889038086,97.60841369628906,12.569999694824219,14.529999732971191
2019-07-05,269.4765625,183.14926147460938,52.558345794677734,96.7981948852539,143.63319396972656,60.20601272583008,96.74896240234375,13.279999732971191,14.979999542236328
2019-07-08,267.99591064453125,181.86463928222656,52.21659469604492,96.26679992675781,142.26722717285156,60.08835983276367,96.61614227294922,13.960000038146973,15.479999542236328
2019-07-09,268.3299255371094,182.77532958984375,52.58208465576172,96.23137664794922,142.4597625732422,60.019142150878906,96.41302490234375,14.09000015258789,15.569999694824219
2019-07-10,269.6119689941406,184.59678649902344,53.10419464111328,96.337646484375,142.70729064941406,60.18525314331055,96.63175201416016,13.029999732971191,15.1899995803833
2019-07-11,270.24407958984375,184.46253967285156,53.2513427734375,96.53247833251953,142.0105438232422,60.067596435546875,96.06144714355469,12.930000305175781,14.979999542236328
2019-07-12,271.4539794921875,185.52662658691406,54.229122161865234,97.18783569335938,143.1106414794922,60.16444778442383,96.1551742553711,12.390000343322754,14.800000190734863
2019-07-15,271.5442199707031,186.12103271484375,54.665802001953125,97.10813903808594,142.35890197753906,60.20601272583008,96.31925964355469,12.680000305175781,15.039999961853027
2019-07-16,270.66839599609375,185.16238403320312,54.10097122192383,96.91331481933594,142.3131103515625,60.08143997192383,96.1161117553711,12.859999656677246,15.220000267028809
2019-07-17,268.8265075683594,184.25167846679688,54.29557418823242,96.10740661621094,141.29550170898438,60.00530242919922,96.62397766113281,13.970000267028809,15.819999694824219
2019-07-18,269.81060791015625,184.46253967285156,55.27335739135742,96.47933959960938,141.82717895507812,60.03298568725586,96.85055541992188,13.529999732971191,15.539999961853027
2019-07-19,268.3118591308594,183.11087036132812,55.27810287475586,96.07198333740234,141.01132202148438,59.92916488647461,96.70203399658203,14.449999809265137,15.930000305175781
2019-07-22,268.9710998535156,184.56800842285156,56.38404846191406,96.09852600097656,140.8829345703125,60.129852294921875,96.99898529052734,13.529999732971191,15.470000267028809
2019-07-23,270.8942565917969,185.77584838867188,57.01058578491211,96.93099212646484,141.81802368164062,60.23370361328125,97.05369567871094,12.609999656677246,14.930000305175781
2019-07-24,272.1672668457031,187.0796661376953,58.529476165771484,97.57752227783203,144.16482543945312,60.282161712646484,97.3271713256836,12.069999694824219,14.5600004196167
2019-07-25,270.8670959472656,185.30615234375,57.47100830078125,96.94873046875,142.4230499267578,60.19911575317383,97.01461029052734,12.739999771118164,15.050000190734863
2019-07-26,272.6818542480469,187.21389770507812,57.35234069824219,97.4358139038086,144.10986328125,60.330623626708984,97.1474380493164,12.15999984741211,14.6899995803833
2019-07-29,272.185302734375,186.5715789794922,57.54694747924805,97.15242004394531,143.14732360839844,60.240638732910156,97.08489990234375,12.829999923706055,15.0
2019-07-30,271.51715087890625,185.76632690429688,57.2906379699707,97.24098205566406,144.696533203125,60.26829147338867,97.05369567871094,13.9399995803833,15.699999809265137
2019-07-31,268.546630859375,183.19717407226562,55.5771369934082,96.27565002441406,143.52308654785156,60.16444778442383,97.13965606689453,16.1200008392334,16.90999984741211
2019-08-01,266.20819091796875,182.28648376464844,54.45695877075195,95.0446548461914,141.44215393066406,60.134605407714844,97.92937469482422,17.8700008392334,17.989999771118164
2019-08-02,264.2036437988281,179.60227966308594,53.71649169921875,94.28300476074219,139.8745574951172,60.04424285888672,98.03125,17.610000610351562,17.889999389648438
2019-08-05,256.2583312988281,173.25599670410156,51.40019226074219,91.60842895507812,135.6759490966797,59.4187126159668,98.10173797607422,24.59000015258789,21.899999618530273
2019-08-06,259.851806640625,175.68136596679688,52.21659469604492,92.62689971923828,136.92271423339844,59.80099868774414,98.71292114257812,20.170000076293945,19.690000534057617
2019-08-07,260.00531005859375,176.63046264648438,52.50138473510742,92.75090026855469,136.88604736328125,59.79400634765625,98.6972427368164,19.489999771118164,19.5
2019-08-08,265.1066589355469,180.47462463378906,53.84465789794922,94.42472076416016,139.837890625,60.03034210205078,98.963623046875,16.90999984741211,17.860000610351562
2019-08-09,263.3008728027344,178.77780151367188,52.914329528808594,93.5567855834961,138.07774353027344,59.946956634521484,98.67369079589844,17.969999313354492,18.559999465942383
